path,truth,pred,frames,fps,fall_frame,peak_probability
dataset\Subject 1\ADL\01.mp4,ADL,NO FALL,245,29.61249929494049,,0.5296063263648008
dataset\Subject 1\ADL\02.mp4,ADL,FALL,198,29.598477223124682,41,0.7888428944459054
dataset\Subject 1\ADL\03.mp4,ADL,NO FALL,199,29.74840918264128,,0.6804880647599594
dataset\Subject 1\ADL\04.mp4,ADL,NO FALL,170,29.263422443323638,,0.08327873552934417
dataset\Subject 1\ADL\05.mp4,ADL,NO FALL,314,29.775451373084508,,0.3834829300375633
dataset\Subject 1\ADL\06.mp4,ADL,NO FALL,364,29.773833381047808,,0.20766277896407614
dataset\Subject 1\ADL\07.mp4,ADL,NO FALL,224,29.71912770822185,,0.030912669765006014
dataset\Subject 1\ADL\08.mp4,ADL,NO FALL,187,29.73240832507433,,0.17280631713138994
dataset\Subject 1\ADL\09.mp4,ADL,NO FALL,147,29.43768023069529,,0.09894525454054878
dataset\Subject 1\ADL\10.mp4,ADL,NO FALL,115,29.32750750189141,,0.0787472218795111
dataset\Subject 1\ADL\11.mp4,ADL,NO FALL,277,29.741666249114193,,0.28657281591776995
dataset\Subject 1\ADL\12.mp4,ADL,NO FALL,218,29.742684845783725,,0.17079018914034344
dataset\Subject 1\ADL\13.mp4,ADL,NO FALL,187,29.656178634864247,,0.7141493367168007
dataset\Subject 1\ADL\14.mp4,ADL,NO FALL,173,29.533944118818642,,0.15478808653237083
dataset\Subject 1\ADL\15.mp4,ADL,NO FALL,212,29.570804874533305,,0.614140083540011
dataset\Subject 1\ADL\16.mp4,ADL,NO FALL,104,29.5337081842449,,0.6133463746981006
dataset\Subject 1\Fall\01.mp4,FALL,FALL,203,29.567986949302313,112,0.9416623119772953
dataset\Subject 1\Fall\02.mp4,FALL,NO FALL,189,29.67265876442421,,0.6748916332277669
dataset\Subject 1\Fall\03.mp4,FALL,FALL,176,29.721529532955433,104,0.930210616051052
dataset\Subject 1\Fall\04.mp4,FALL,FALL,146,29.427770947130792,74,0.7971732260375348
dataset\Subject 1\Fall\05.mp4,FALL,FALL,174,29.70482959557045,67,0.9796550475638266
dataset\Subject 1\Fall\06.mp4,FALL,FALL,169,29.663520890256674,76,0.9765755686104152
dataset\Subject 1\Fall\07.mp4,FALL,FALL,153,29.688561172019018,40,0.9664979323997486
dataset\Subject 1\Fall\08.mp4,FALL,FALL,129,29.631784874773167,40,0.9920661721153017
dataset\Subject 1\Fall\09.mp4,FALL,FALL,131,29.23106674798804,40,0.9896277483570669
dataset\Subject 1\Fall\10.mp4,FALL,FALL,133,29.57264197091653,32,0.992855737603573
