path,truth,pred,correct,frames,fps,fall_frame,hip_v,shoulder_v,ratio,angle,best_frame,best_status,best_recent_upright,best_strong_motion,best_horizontal,best_low_enough,fall_recent_upright,fall_strong_motion,fall_horizontal,fall_low_enough
dataset\Subject 1\ADL\01.mp4,ADL,FALL,False,245,29.61249929494049,70,3.400536286640896,2.700876510170875,3.6358079459538404,0.2171696185762068,71,FALL,True,True,True,False,True,False,True,False
dataset\Subject 1\ADL\02.mp4,ADL,FALL,False,198,29.598477223124682,48,1.636665685875409,2.9523973574294207,2.4286680642629945,0.661739541645714,57,FALL,True,True,True,False,True,False,True,False
dataset\Subject 1\ADL\03.mp4,ADL,NO FALL,True,199,29.74840918264128,,4.429519566120354,9.628374658352488,11.965815437877643,0.009702006655092885,36,LYING,True,True,True,False,,,,
dataset\Subject 1\ADL\04.mp4,ADL,NO FALL,True,170,29.263422443323638,,1.8318160849079606,3.5498588564432207,9.365726098649123,0.06748393909697883,4,LYING,False,True,True,False,,,,
dataset\Subject 1\ADL\05.mp4,ADL,NO FALL,True,314,29.775451373084508,,1.7074702856195427,1.2810359665156148,2.770776656659304,51.34316289730663,9,DESCENDING,True,True,False,False,,,,
dataset\Subject 1\ADL\06.mp4,ADL,NO FALL,True,364,29.773833381047808,,1.967172024448622,1.0984994880759422,1.2480677489846475,68.61980342749034,79,DESCENDING,True,True,False,False,,,,
dataset\Subject 1\ADL\07.mp4,ADL,NO FALL,True,224,29.71912770822185,,1.3555968897809543,0.4936883662528286,0.25696692510388053,85.62099303728861,93,DESCENDING,True,True,False,False,,,,
dataset\Subject 1\ADL\08.mp4,ADL,NO FALL,True,187,29.73240832507433,,0.6092838500938039,0.3754992433601338,0.21622633138488798,85.79927118262586,34,OK,True,False,False,False,,,,
dataset\Subject 1\ADL\09.mp4,ADL,NO FALL,True,147,29.43768023069529,,0.4351364738094143,0.3397290306383025,0.2031082084888988,87.20406859852821,103,OK,True,False,False,False,,,,
dataset\Subject 1\ADL\10.mp4,ADL,NO FALL,True,115,29.32750750189141,,0.537608486283826,0.3445904717393171,0.19861646357005314,85.91382579374853,52,OK,True,False,False,False,,,,
dataset\Subject 1\ADL\11.mp4,ADL,NO FALL,True,277,29.741666249114193,,1.294014646114436,1.507507996754572,0.3578618576497103,57.14348276223365,58,DESCENDING,True,True,False,False,,,,
dataset\Subject 1\ADL\12.mp4,ADL,NO FALL,True,218,29.742684845783725,,1.0463267463431456,0.5108866326604378,0.30977802232308405,76.33691265757719,43,DESCENDING,True,True,False,False,,,,
dataset\Subject 1\ADL\13.mp4,ADL,NO FALL,True,187,29.656178634864247,,1.1062358861774322,1.0700829418060314,0.48804369081901927,36.34120969625104,89,DESCENDING,True,True,False,False,,,,
dataset\Subject 1\ADL\14.mp4,ADL,NO FALL,True,173,29.533944118818642,,0.4333544411653466,0.5979275357845352,0.32283942324605935,57.04728713935326,58,OK,True,False,False,False,,,,
dataset\Subject 1\ADL\15.mp4,ADL,NO FALL,True,212,29.570804874533305,,1.081298764615315,1.8101869160638662,0.4096724489499861,0.22622059197815786,45,DESCENDING,True,True,False,False,,,,
dataset\Subject 1\ADL\16.mp4,ADL,FALL,False,104,29.5337081842449,39,1.4859593311264123,1.060187517401742,0.7312866050398846,0.034750295168044495,44,FALL,True,True,False,True,True,False,False,True
dataset\Subject 1\Fall\01.mp4,FALL,FALL,True,203,29.567986949302313,133,9.698297132916213,6.1962119455109805,4.393682872876471,0.04753371683677311,125,POSSIBLE_FALL,False,True,True,False,False,True,True,False
dataset\Subject 1\Fall\02.mp4,FALL,FALL,True,189,29.67265876442421,85,7.840290769273843,30.229225093104155,5.836244265418368,0.5041056590250733,55,DESCENDING,True,True,False,False,False,True,True,False
dataset\Subject 1\Fall\03.mp4,FALL,FALL,True,176,29.721529532955433,96,3.556862148359631,4.445235623755721,2.531172609370244,0.2871327535364196,95,POSSIBLE_FALL,True,True,True,True,True,False,True,True
dataset\Subject 1\Fall\04.mp4,FALL,FALL,True,146,29.427770947130792,88,3.952705781312717,6.487888619910914,2.2200399967663067,2.350602415378289,64,DESCENDING,True,True,False,False,False,True,True,False
dataset\Subject 1\Fall\05.mp4,FALL,FALL,True,174,29.70482959557045,72,4.278604004997954,4.540543880107023,2.759111262681736,0.12239293632683138,71,POSSIBLE_FALL,True,True,True,True,True,False,True,True
dataset\Subject 1\Fall\06.mp4,FALL,FALL,True,169,29.663520890256674,89,3.7134188020258065,3.494354968840956,1.8020341436220322,0.5149388301893384,93,FALL,True,True,True,True,True,False,False,True
dataset\Subject 1\Fall\07.mp4,FALL,FALL,True,153,29.688561172019018,55,4.869802869534813,2.9732991307637726,2.2328694221236516,0.36746224640866937,55,FALL,True,True,True,True,True,True,True,True
dataset\Subject 1\Fall\08.mp4,FALL,FALL,True,129,29.631784874773167,45,4.235521112484804,3.9498730761945966,2.7354791219521997,0.22452179340601994,44,POSSIBLE_FALL,True,True,True,True,True,True,True,True
dataset\Subject 1\Fall\09.mp4,FALL,NO FALL,False,131,29.23106674798804,,9.416536719668175,17.52347855196471,1.3519954176405988,0.5130160487903422,31,DESCENDING,True,True,False,False,,,,
dataset\Subject 1\Fall\10.mp4,FALL,NO FALL,False,133,29.57264197091653,,2.866148799974368,2.5636765597695077,1.0074732477592672,5.332203068337611,44,DESCENDING,True,True,False,True,,,,
dataset\Subject 1\Fall\11.mp4,FALL,FALL,True,181,29.684783678289108,106,2.8232581225321014,2.1512988607616252,1.2353742154349363,9.46167236485145,173,FALL,True,True,True,True,True,False,True,True
