elapsed_s,fps,cpu_temperature_c,memory_percent
1.071,9.334,47.2,6.6
2.133,10.363,47.7,6.6
3.208,10.228,48.2,6.6
4.276,10.307,48.2,6.7
5.352,10.222,47.7,6.8
6.418,10.318,48.7,6.8
7.495,10.213,48.7,6.7
8.56,10.323,48.2,6.4
9.639,10.197,48.7,6.4
10.712,10.253,48.2,6.2
11.801,10.103,48.7,6.1
12.855,10.429,48.7,6.1
13.892,10.612,48.7,6.2
14.917,10.729,48.7,6.4
15.967,10.476,48.7,6.6
16.995,10.7,48.7,6.7
18.014,10.794,48.7,6.4
19.026,10.874,48.7,6.4
20.089,10.345,48.7,6.4
21.154,10.334,48.7,6.3
22.231,10.212,48.2,6.2
23.316,10.14,48.7,6.4
24.394,10.204,50.6,6.6
25.468,10.243,50.1,6.6
26.556,10.109,48.7,6.6
27.631,10.232,48.7,6.7
28.683,10.459,48.2,6.7
29.726,10.543,49.6,6.1
30.794,10.301,49.1,6.2
31.855,10.366,49.6,6.2
32.887,10.661,48.7,6.3
33.913,10.718,49.1,6.0
34.941,10.703,48.7,6.0
35.973,10.656,48.7,6.1
36.982,9.907,48.7,6.1
38.007,10.738,49.1,6.1
39.029,10.759,48.7,6.1
40.102,10.256,48.7,6.4
41.184,10.168,48.2,6.0
42.215,9.697,48.2,6.1
43.237,9.78,49.1,6.5
44.324,10.124,49.1,7.1
45.337,9.869,49.6,7.4
46.34,9.97,49.6,7.7
47.377,9.645,50.6,8.1
48.386,9.907,49.6,8.2
49.465,10.201,49.6,7.8
50.539,10.24,49.6,7.8
51.611,10.262,48.7,7.8
52.661,10.473,48.7,7.8
53.694,10.651,49.1,7.6
54.726,10.654,50.1,7.5
55.766,10.585,48.7,7.6
56.794,10.696,48.2,7.8
57.831,10.604,49.6,7.8
58.862,10.674,47.7,7.8
59.908,10.515,49.6,7.0
